"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1969","User shouldnt be able to login with invalid credentials","webkit","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","2064","User shouldnt be able to login with locked credentials","firefox","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","7277","User shouldnt be able to login with problematic credentials","webkit","2026-04-01","failed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","2029","User shouldnt be able to login with locked credentials","webkit","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","1707","User shouldnt be able to login with locked credentials","chromium","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","2358","User should be able to login and add items to cart","chromium","2026-04-01","passed","2026-04-01","End to End Tests","smallendtoend.spec.ts","",""
"","1608","User shouldnt be able to login with invalid credentials","chromium","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","2083","User should be able to login with valid credentials","chromium","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","5694","User should be able to login with valid credentials","firefox","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","1232","User shouldnt be able to login with empty credentials","chromium","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","3262","User should be able to login with valid credentials","webkit","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","1636","User shouldnt be able to login with empty credentials","firefox","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","7066","User shouldnt be able to login with problematic credentials","firefox","2026-04-01","failed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","5825","User should be able to login and add items to cart","webkit","2026-04-01","passed","2026-04-01","End to End Tests","smallendtoend.spec.ts","",""
"","2145","User shouldnt be able to login with empty credentials","webkit","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","1509","User shouldnt be able to login with invalid credentials","firefox","2026-04-01","passed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","6396","User shouldnt be able to login with problematic credentials","chromium","2026-04-01","failed","2026-04-01","Login Tests","test-1.spec.ts","",""
"","4707","User should be able to login and add items to cart","firefox","2026-04-01","passed","2026-04-01","End to End Tests","smallendtoend.spec.ts","",""
